,pr
2014-11-05,41.75384615384615
2014-11-06,1.4461538461538461
2014-11-07,0.18461538461538465
2014-11-08,36.98461538461539
2014-11-09,4.861538461538462
2014-11-10,0.015384615384615385
2014-11-11,0.07692307692307693
2014-11-12,0.0923076923076923
2014-11-13,0.0
2014-11-14,7.090909090909091
2014-11-15,7.533333333333332
2014-11-16,0.5846153846153848
2014-11-17,0.015384615384615385
2014-11-18,0.0
2014-11-19,0.015384615384615385
2014-11-20,3.2000000000000006
2014-11-21,27.492307692307694
2014-11-22,3.338461538461539
2014-11-23,11.784615384615382
2014-11-24,0.4000000000000001
2014-11-25,0.015384615384615385
2014-11-26,24.907692307692304
2014-11-27,0.47692307692307695
2014-11-28,0.5384615384615384
2014-11-29,0.2
2014-11-30,0.1846153846153846
2014-12-01,0.12307692307692307
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,8.123076923076923
2014-12-05,5.184615384615384
2014-12-06,0.9384615384615385
2014-12-07,0.0
2014-12-08,0.03076923076923077
2014-12-09,3.6923076923076925
2014-12-10,7.366666666666667
2014-12-11,6.583333333333335
2014-12-12,2.6000000000000005
2014-12-13,4.246153846153846
2014-12-14,5.261538461538461
2014-12-15,0.15384615384615385
2014-12-16,0.07692307692307693
2014-12-17,0.015384615384615385
2014-12-18,0.0
2014-12-19,5.892307692307693
2014-12-20,11.384615384615385
2014-12-21,1.9538461538461538
2014-12-22,12.0
2014-12-23,80.64615384615385
2014-12-24,3.476923076923077
2014-12-25,4.138461538461538
2014-12-26,11.661538461538461
2014-12-27,10.215384615384616
2014-12-28,0.24615384615384617
2014-12-29,7.846153846153846
2014-12-30,10.461538461538462
2014-12-31,1.0307692307692307
2015-01-01,10.28
2015-01-02,5.000000000000001
2015-01-03,3.88
2015-01-04,1.7466666666666666
2015-01-05,8.733333333333336
2015-01-06,12.093333333333335
2015-01-07,10.09333333333333
2015-01-08,3.3733333333333335
2015-01-09,5.573333333333334
2015-01-10,0.14666666666666667
2015-01-11,5.946666666666666
2015-01-12,3.213333333333333
2015-01-13,2.48
2015-01-14,5.626666666666667
2015-01-15,8.959999999999999
2015-01-16,0.6933333333333334
2015-01-17,0.8933333333333333
2015-01-18,0.7599999999999999
2015-01-19,0.05714285714285715
2015-01-20,10.546666666666665
2015-01-21,15.853333333333332
2015-01-22,0.18666666666666665
2015-01-23,1.9999999999999998
2015-01-24,0.3333333333333333
2015-01-25,0.0
2015-01-26,6.6000000000000005
2015-01-27,4.7
2015-01-28,15.866666666666665
2015-01-29,5.033333333333334
2015-01-30,3.1833333333333336
2015-01-31,16.38333333333333
2015-02-01,0.5833333333333334
2015-02-02,0.6166666666666667
2015-02-03,0.7833333333333332
2015-02-04,21.36666666666667
2015-02-05,24.13333333333333
2015-02-06,13.950000000000001
2015-02-07,2.533333333333333
2015-02-08,0.2750000000000001
2015-02-09,2.8938571428571427
2015-02-10,0.17142857142857143
2015-02-11,0.009523809523809525
2015-02-12,3.2924285714285717
2015-02-13,5.265523809523809
2015-02-14,22.461190476190474
2015-02-15,31.394095238095247
2015-02-16,11.542714285714286
2015-02-17,2.735
2015-02-18,8.52395238095238
2015-02-19,8.761999999999999
2015-02-20,1.1520476190476188
2015-02-21,9.929571428571428
2015-02-22,1.22
2015-02-23,0.0380952380952381
2015-02-24,0.38095238095238093
2015-02-25,13.886142857142856
2015-02-26,4.214761904761905
2015-02-27,9.465666666666666
2015-02-28,1.3328095238095237
