field_1,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao,cordy,cordx
"4421","25424938",H,Ponte BR 277 Campo Largo,T,84,4104204,,-25.42697,-49.38794,2016/06/13,,,IAT,7186793.71,662119.44
"4422","25614935",H,Ponte Da Caximba,T,84,4106902,,-25.61096,-49.3572,2014/02/04,2014/01/01 03:00:00,2016/06/26,IAT,7166376.30,664959.58
"4423","25234959",H,Ponte Do Açungui,T,84,4104204,,-25.23556,-49.59633,2014/02/04,2014/01/01 03:00:00,,IAT,7208230.17,641381.75
"4425","25594926",H,Ponte Do Umbarazinho,T,84,4125506,906,-25.59859,-49.26004,2013/09/08,2013/08/29 00:00:00,,IAT,7167621.97,674735.60
"4426","25454912",H,Ponte PR 415,T,84,4119509,,-25.45058,-49.12135,2014/01/01,2013/06/25 00:00:00,,IAT,7183827.51,688898.32
"4440","25474932",H,Santa Quitéria,T,84,4106902,,-25.47175,-49.32372,2017/05/15,2017/05/15 13:29:44,,IAT,7181754.02,668516.60
"4497","25464952",H,CAMPO LARGO - Rio Cambui,T,86,4104204,,-25.4556,-49.5204,2017/01/01,2017/05/05 11:52:50,,CEMADEN,7183777.06,648761.23
"4762","25264916",M,Curitiba,T,1,4106902,935,-25.44817,-49.23033,1997/06/01,1997/06/01 03:00:00,,SIMEPAR,7184244.47,677941.64
"4764","25654927",M,Fazenda Gralha Azul-PUC,T,1,4107652,911.73,-25.65457,-49.27852,2009/09/03,2009/09/03 00:00:00,,SIMEPAR,7161445.33,672798.79
"4775","25474946",M,Lapa,T,1,4113205,909.8,-25.7817,-49.7598,1997/06/01,1997/06/01 03:00:00,,SIMEPAR,7147905.72,624350.90
"4789","25254905",M,Pinhais,T,1,4119152,930,-25.3907,-49.1299,1998/07/10,1998/07/10 20:00:00,,SIMEPAR,7190472.66,688131.39
"4815","25784977",M,Lapa,T,3,4113205,903,-25.78212,-49.76035,2015/08/01,,,IAPAR,7147859.73,624295.31
"4980","25324915",M,Colombo,T,4,4105805,950,-25.32246,-49.15773,2016/05/28,2016/11/17 18:18:51,,INMET,7198070.55,685435.21
"5004","25264913",M,Curitiba,T,4,4106902,922.91,-25.44869,-49.2306,2003/01/28,2003/01/28 00:00:00,,INMET,7184187.23,677913.72
