,elvstd,chanlength,changrad,chanman,chanbnkf,mannings_o,pr,e0,laio,thetar1_o,thetas3,thetar2,thetar1,thetas2_o,thetas1_f,thetar2_f,thetar2_o,thetar3,thetas2_f,thetas1_o
112,25.7416,22.4275,30.0239,22.8859,24.7007,25.6978,3.20814,26.9092,25.7579,25.7416,58734.9,27.3056,25.71,3648.3,89.2212,25.7416,25.7416,53.2128,1237.39,218.483
113,24.0147,21.3056,27.9497,21.6365,23.1153,23.9714,3.03045,25.6168,24.0298,24.0147,54032.9,25.5441,23.9839,3645.97,87.6574,24.0147,24.0147,51.3731,1237.25,217.063
114,22.2583,19.8125,25.8615,20.1575,21.4642,22.2151,2.83798,23.4268,22.2725,22.2583,59344.3,23.8002,22.2276,3645.38,86.0256,22.2583,22.2583,49.4904,1235.48,215.515
115,20.3815,17.9049,23.7132,18.3318,19.6429,20.3387,2.63016,21.3133,20.3948,20.3815,60752.8,21.9869,20.3574,3643.28,84.1909,20.3815,20.3815,47.4466,1234.03,213.692
116,18.6447,16.1406,21.758,16.5924,17.9363,18.6025,2.43607,19.4052,18.657,18.6447,60954.4,20.3163,18.6274,3640.53,82.4494,18.6447,18.6447,45.5169,1231.18,211.944
117,17.0508,14.577,19.9904,15.0152,16.3618,17.0094,2.25773,17.6693,17.0623,17.0508,64233.0,18.7873,17.04,3638.07,80.8366,17.0508,17.0508,43.7206,1229.82,210.335
118,15.568,13.1567,18.3649,13.5738,14.896,15.5275,2.09189,16.0676,15.5786,15.568,63733.4,17.3704,15.5639,3635.63,79.337,15.568,15.568,42.036,1227.87,208.851
119,14.2168,11.9014,16.8872,12.2911,13.5653,14.1772,1.93972,14.619,14.2265,14.2168,65544.5,16.0808,14.2185,3633.63,77.9814,14.2168,14.2168,40.4907,1225.47,207.522
120,12.9675,10.7537,15.5222,11.121,12.3389,12.9289,1.79816,13.2918,12.9764,12.9675,96317.9,14.8917,12.9751,3629.11,76.7378,12.9675,12.9675,39.0553,1222.41,206.309
121,11.8254,9.7182,14.2699,10.0642,11.2223,11.7878,1.66741,12.0883,11.8335,11.8254,106912.0,13.8057,11.8384,3626.43,75.6105,11.8254,11.8254,37.7351,1221.31,205.213
122,10.7839,8.78495,13.1216,9.11034,10.2077,10.7474,1.54677,11.0051,10.7913,10.7839,104326.0,12.8154,10.8025,3624.64,74.5908,10.7839,10.7839,36.5226,1219.95,204.225
123,9.87405,8.00759,12.1037,8.30223,9.32832,9.83856,1.4389,10.0571,9.88082,9.87405,109655.0,11.9462,9.8963,3623.55,73.7156,9.87405,9.87405,35.4524,1218.35,203.386
124,34.1649,49.1129,33.6541,43.0652,35.6947,34.1476,1.87411,35.388,34.1726,34.1649,439316.0,38.534,34.3488,3591.95,102.159,34.1649,34.1649,61.9148,1206.96,234.738
125,31.1718,41.6719,29.1035,40.1538,33.2219,31.1559,2.28331,32.7957,31.1804,31.1718,201578.0,34.6035,31.2304,3617.95,100.258,31.1718,31.1718,59.538,1219.42,232.725
126,27.6326,30.4718,24.5759,31.5846,29.2905,27.6158,2.2175,28.6311,27.6418,27.6326,127006.0,30.648,27.6559,3641.95,95.6591,27.6326,27.6326,55.4157,1233.15,226.696
127,25.394,24.0608,22.56,25.4398,26.1771,25.3772,2.0815,26.1366,25.4035,25.394,118998.0,28.0951,25.403,3645.42,91.7543,25.394,25.394,52.1255,1236.24,221.613
128,23.2728,20.248,21.3751,21.3341,23.2929,23.2556,1.97232,23.8358,23.282,23.2728,118353.0,25.6961,23.272,3643.61,88.2838,23.2728,23.2728,49.0399,1235.33,217.559
129,21.1243,17.6145,20.3213,18.4287,20.6645,21.1063,1.8815,21.5475,21.133,21.1243,124929.0,23.3412,21.1187,3640.78,85.2899,21.1243,21.1243,46.1761,1233.16,214.401
130,19.0607,15.5785,19.222,16.2163,18.3563,19.0417,1.7991,19.3791,19.0689,19.0607,126395.0,21.1404,19.0541,3637.15,82.7812,19.0607,19.0607,43.6228,1230.76,211.929
131,17.1616,13.8963,18.0634,14.4256,16.3619,17.1416,1.71948,17.4039,17.1691,17.1616,127254.0,19.1579,17.1566,3634.84,80.6912,17.1616,17.1616,41.3925,1227.14,209.943
132,15.4541,12.4554,16.8754,12.9152,14.6417,15.4337,1.64004,15.8601,15.4611,15.4541,132361.0,17.4047,15.4564,3631.63,78.9352,15.4541,15.4541,39.4528,1224.4,208.297
133,14.1607,11.5696,15.8938,11.9197,13.394,14.1397,1.57936,14.6274,14.1671,14.1607,130532.0,16.0564,14.1644,3630.42,77.7046,14.1607,14.1607,38.0054,1222.49,207.19
134,13.2851,11.2004,15.1604,11.4211,12.601,13.2649,1.50896,14.6526,13.2912,13.2851,139270.0,15.201,13.3011,3627.39,76.979,13.2851,13.2851,37.039,1217.41,206.598
135,38.243,53.326,37.2727,47.3369,39.7815,38.2463,2.00302,40.8409,38.2501,38.243,523501.0,42.4748,38.4182,3599.2,105.941,38.243,38.243,63.9381,1212.31,238.504
136,35.1474,45.1543,32.6271,43.8251,37.1765,35.1517,2.41603,37.5957,35.1557,35.1474,234180.0,38.3684,35.2005,3624.52,103.831,35.1474,35.1474,61.3709,1225.27,236.255
137,31.1707,33.2718,27.9105,34.5046,32.6814,31.1721,2.37174,32.8755,31.18,31.1707,153084.0,33.8697,31.1851,3647.59,98.7718,31.1707,31.1707,56.8473,1237.7,229.742
138,28.5283,26.5421,25.7591,27.9688,29.0968,28.5114,2.25049,29.9277,28.5224,28.5127,148430.0,30.8443,28.5128,3650.52,94.5239,28.5127,28.5127,53.2614,1240.19,224.32
139,26.0704,22.6028,24.4511,23.6973,25.9076,26.0668,2.15551,27.0733,26.0809,26.0712,146050.0,28.0906,26.0597,3648.54,90.8428,26.0712,26.0712,49.9926,1239.38,220.076
140,23.5957,19.7668,23.1754,20.5918,22.988,23.5894,2.06782,24.318,23.6062,23.5968,150186.0,25.4007,23.5809,3645.1,87.6137,23.5968,23.5968,46.914,1237.38,216.694
