,vazao_25334953_Porto Amazonas,vazao_25584963_Balsa Nova,vazao_25604951_Guajuvira,vazao_25604939_Araucária,vazao_25594926_Ponte Do Umbarazinho,vazao_25514921_ETE- Sanepar,vazao_25484919_Ponte BR 277
2013-08-30,41.6895,31.3784,2.64393,2.51756,2.7238,10.2999,4.56288
2013-08-31,35.9292,27.0175,2.2644,2.16753,2.35402,8.88132,3.94561
2013-09-01,31.6247,23.763,1.9996,1.92401,2.09686,7.80003,3.4578
2013-09-02,28.4288,21.3621,1.83686,1.77265,1.9443,6.98,3.06422
2013-09-03,33.2907,24.0274,2.18637,2.22907,2.38565,7.95485,3.36633
2013-09-04,35.2052,25.7252,2.38935,2.29809,2.52813,8.44379,3.55621
2013-09-05,35.4491,25.6798,2.44624,2.35477,2.57902,8.48266,3.47643
2013-09-06,33.3777,24.3912,2.32174,2.20729,2.41283,8.02613,3.27417
2013-09-07,29.9418,21.8319,2.09275,1.98388,2.16458,7.17029,2.89084
2013-09-08,26.7657,19.5609,1.89434,1.79657,1.97272,6.38881,2.5647
2013-09-09,24.4935,17.8816,1.76547,1.67853,1.84921,5.83129,2.30704
2013-09-10,22.5032,16.3393,1.67773,1.60127,1.76737,5.33945,2.07072
2013-09-11,21.1291,14.9572,1.64398,1.58122,1.66518,4.97669,1.8516
2013-09-12,20.1866,13.7843,1.63402,1.57674,1.53417,4.70242,1.65654
2013-09-13,19.2074,12.6669,1.61031,1.5529,1.37389,4.43395,1.48207
2013-09-14,18.1162,11.6174,1.56618,1.50556,1.23201,4.15283,1.32553
2013-09-15,17.2784,10.6748,1.54615,1.49267,1.10537,3.92863,1.18481
2013-09-16,16.9088,9.95438,1.56025,1.51129,0.991804,3.79383,1.05813
2013-09-17,16.7013,9.35872,1.58271,1.53553,0.889687,3.69489,0.943975
2013-09-18,122.217,71.4026,6.75402,7.39619,6.0507,29.1394,10.0961
2013-09-19,136.2,90.4101,8.11416,7.16486,6.97192,33.6515,13.2239
2013-09-20,104.565,71.2591,6.44044,5.53933,5.27096,25.8743,10.3909
2013-09-21,86.0241,57.8192,5.29648,4.66103,4.29984,21.1677,8.38519
2013-09-22,75.5294,50.0922,4.69723,4.20302,3.75849,18.523,7.22282
2013-09-23,140.809,93.5932,6.88605,6.84778,7.84983,34.891,14.4516
2013-09-24,265.053,177.178,13.9979,14.2869,14.4609,66.2837,27.6644
2013-09-25,199.605,139.586,11.1817,10.4244,10.5321,50.5579,21.5995
2013-09-26,162.5,112.567,9.0964,8.56211,8.52836,40.9495,17.371
2013-09-27,142.496,98.0267,7.92519,7.52643,7.49689,35.8067,15.1153
2013-09-28,126.859,86.7795,7.06502,6.75344,6.7028,31.8266,13.3661
2013-09-29,113.88,77.5901,6.3653,6.10693,6.01424,28.545,11.9442
2013-09-30,109.655,73.757,6.11698,5.96026,5.73592,27.2773,11.2839
2013-10-01,103.235,69.6655,5.76834,5.57222,5.38943,25.8548,10.721
2013-10-02,99.1295,66.4968,5.46019,5.30897,5.16931,24.8916,10.3526
2013-10-03,98.0943,66.4032,5.48242,5.38196,5.26633,24.581,10.3322
2013-10-04,107.688,72.3463,6.13589,6.12552,5.77676,26.97,11.1962
2013-10-05,166.272,112.936,9.58995,9.85973,9.22035,41.4253,17.6154
2013-10-06,141.232,99.4451,8.45594,8.09733,7.56953,35.4949,15.4384
2013-10-07,118.448,82.893,7.10381,6.81123,6.29173,29.709,12.8266
2013-10-08,104.469,72.272,6.30759,6.09459,5.4964,26.1058,11.1354
2013-10-09,95.6606,65.3858,5.78863,5.63266,4.97825,23.8589,10.0689
2013-10-10,87.398,59.6011,5.2654,5.12408,4.54525,21.797,9.17932
