,vazao,etp,horleitura,Q_fore
2015-12-03,118.89427083333334,0.1907270833333333,28.0,71.64071230613527
2015-12-04,128.9665625,0.1440070833333333,0.2,71.42047941512507
2015-12-05,118.503125,0.1860554166666666,3.2,75.01424325858734
2015-12-06,118.57760416666667,0.2042366666666666,0.0,83.62451640777586
2015-12-07,152.57427083333332,0.205875,47.8,86.85272610152347
2015-12-08,187.9623958333333,0.1801920833333333,0.2,88.15278369263956
2015-12-09,163.91885416666665,0.1729729166666666,0.2,96.97228198374843
2015-12-10,146.001875,0.14992125,0.0,116.06631697494547
2015-12-11,143.84875,0.1701358333333333,9.0,119.52625780632069
2015-12-12,143.22875,0.1870095833333333,2.4,107.78137456132866
2015-12-13,129.65208333333334,0.1719225,0.8,100.78114589130004
2015-12-14,120.86822916666668,0.20926625,0.0,97.77083341602086
2015-12-15,114.925,0.195285,0.2,93.65051973313697
2015-12-16,111.31979166666667,0.2330499999999999,8.0,87.4818639177829
2015-12-17,108.26927083333334,0.2221529166666666,0.2,82.45421260344953
2015-12-18,103.87239583333331,0.2255158333333333,0.0,79.25288955204796
2015-12-19,100.02760416666666,0.2218229166666666,7.399999999999999,78.1424154851474
2015-12-20,120.0796875,0.1925691666666666,40.6,77.2384834529691
2015-12-21,138.24677083333333,0.13588375,15.0,80.15805624363611
2015-12-22,131.43885416666666,0.1438779166666666,0.0,92.68659807405393
2015-12-23,121.60833333333332,0.1846225,3.6,115.7333002612171
2015-12-24,124.96458333333334,0.1755220833333333,17.599999999999998,127.87497523474457
2015-12-25,131.59322916666667,0.2203054166666666,4.0,122.48028113686036
2015-12-26,164.020625,0.1997204166666666,45.8,120.2832155158166
2015-12-27,209.2109375,0.2227904166666666,5.8,130.68646724283767
2015-12-28,161.20260416666667,0.2144883333333333,1.0,146.07453898100994
2015-12-29,183.96572916666665,0.2236320833333333,21.0,169.08396074483917
2015-12-30,246.18041666666667,0.2157558333333333,27.0,176.2157439842766
2015-12-31,266.3613541666667,0.1990329166666666,7.0,170.25138496537522
2016-01-01,256.4458333333333,0.1927891666666666,1.8,179.9721194395669
2016-01-02,256.6503125,0.2236691666666666,4.0,191.9099723068655
2016-01-03,305.9490625,0.2044620833333333,16.6,183.85621064317743
2016-01-04,286.5260416666667,0.1999891666666666,0.0,166.85401075754444
2016-01-05,238.92291666666665,0.2183279166666666,0.0,156.32712550632704
2016-01-06,207.3559375,0.2098133333333333,0.0,151.59731508828708
2016-01-07,179.6365625,0.20548,0.0,140.008397598533
2016-01-08,153.785625,0.1988641666666666,0.0,124.4537452962028
2016-01-09,133.09843750000002,0.2084120833333333,0.0,112.45848538489247
2016-01-10,118.58802083333336,0.1662616666666666,16.8,103.57593600848826
2016-01-11,137.26927083333334,0.177035,43.8,100.05356352066494
2016-01-12,136.34916666666666,0.179205,18.8,106.78802940658554
2016-01-13,169.99760416666666,0.19300375,0.2,130.03170667730765
2016-01-14,209.97708333333333,0.2081008333333333,0.0,165.89750222873283
2016-01-15,231.42729166666663,0.18577625,0.0,179.13237864735555
2016-01-16,237.8459375,0.1961016666666666,0.0,160.86103841003896
2016-01-17,229.53072916666667,0.23507875,0.0,139.64481248312921
2016-01-18,211.58666666666667,0.1994741666666666,0.0,124.3321624736575
2016-01-19,187.28625,0.1956270833333333,0.0,112.77489066847187
2016-01-20,159.760625,0.2043112499999999,0.0,103.58914834509147
2016-01-21,133.45385416666667,0.2272383333333333,0.0,96.02589357506042
2016-01-22,115.64322916666669,0.2114220833333333,0.0,89.6907413831615
2016-01-23,106.359375,0.1768466666666666,0.0,84.31991587850565
2016-01-24,101.271875,0.1560733333333333,0.0,79.71812127281714
2016-01-25,94.51145833333334,0.16899875,0.0,75.73818168151291
2016-01-26,87.92364583333334,0.18821125,9.6,72.5275915324139
2016-01-27,85.21,0.1863541666666666,0.0,70.62654556857721
2016-01-28,88.466875,0.1817545833333333,11.8,70.56117045840377
2016-01-29,84.75375,0.1910741666666666,0.0,73.32106554353345
2016-01-30,86.10072916666667,0.1811120833333333,0.0,75.37159984147915
2016-01-31,90.65197916666666,0.17651375,6.2,77.13661934529307
2016-02-01,92.65104166666669,0.1817270833333333,9.2,76.91053590358452
2016-02-02,92.18854166666668,0.22474,0.0,75.61943173419643
2016-02-03,90.449375,0.2027791666666666,22.0,77.73044874880605
2016-02-04,93.32291666666669,0.201485,1.6,82.45828164207097
2016-02-05,99.359375,0.1825104166666666,3.6,86.7708547559668
2016-02-06,100.66614583333336,0.2085270833333333,0.0,93.5134523164657
2016-02-07,103.7453125,0.2031333333333333,0.2,94.6737610211804
2016-02-08,106.61979166666669,0.2306766666666666,0.0,89.64640002870087
2016-02-09,107.68333333333334,0.19540375,0.0,84.37449129405647
2016-02-10,108.7390625,0.1889633333333333,0.0,79.16528619306166
2016-02-11,109.96770833333332,0.2209220833333333,11.2,75.16865120961235
2016-02-12,111.36789473684212,0.1922104166666667,0.0,72.84072327086233
2016-02-13,111.78177083333333,0.1612770833333333,0.0,72.35544534516188
2016-02-14,117.36927083333336,0.1439841666666666,0.0,73.85427844720739
2016-02-15,125.10677083333331,0.1540329166666666,15.6,73.09604801124286
2016-02-16,126.88125,0.1529466666666666,0.2,71.24842247378992
2016-02-17,122.84427083333333,0.1883808333333333,1.0,71.90214461706836
2016-02-18,121.53541666666666,0.178805,9.8,75.6915068623437
2016-02-19,115.0109375,0.16469375,3.4000000000000004,76.82248156742723
2016-02-20,109.90625,0.1561691666666666,12.6,76.16886899099352
2016-02-21,109.69375,0.1523433333333333,68.0,81.13338595013843
2016-02-22,114.40604166666668,0.16469,11.4,94.4278935223122
2016-02-23,116.72010416666666,0.16318,21.6,123.16874862120164
2016-02-24,124.68958333333336,0.15554875,14.6,177.7918904203077
2016-02-25,129.99635416666666,0.18254375,0.8,209.55793154874425
2016-02-26,139.7215625,0.1859429166666666,1.0,208.29855555751948
2016-02-27,156.14177083333334,0.1815808333333333,2.0,198.3567879879376
2016-02-28,157.42958333333334,0.1987279166666666,1.4,175.1281196060703
2016-02-29,153.48625,0.1734795833333333,23.4,154.06639438814884
2016-03-01,147.52322916666665,0.1747395833333333,0.2,142.9611887862159
2016-03-02,126.92708333333331,0.1814,0.0,139.44159776784412
2016-03-03,116.33958333333334,0.200925,0.4,142.55560100012076
2016-03-04,113.37552083333333,0.1713766666666666,10.2,136.26642563695137
2016-03-05,110.10729166666664,0.1722091666666666,0.2,123.62905342318678
2016-03-06,106.17239583333333,0.1756158333333333,0.0,116.02930405089829
2016-03-07,103.36822916666668,0.18444625,0.0,112.50519316074585
2016-03-08,101.25989583333336,0.1865687499999999,0.0,106.39905407120115
