hordatahora,horleitura
2012-03-12,0.000
2012-03-13,0.000
2012-03-14,0.000
2012-03-15,18.800
2012-03-16,0.000
2012-03-17,0.000
2012-03-18,0.000
2012-03-19,0.000
2012-03-20,0.000
2012-03-21,0.000
2012-03-22,4.200
2012-03-23,7.000
2012-03-24,0.200
2012-03-25,0.000
2012-03-26,3.800
2012-03-27,6.400
2012-03-28,0.000
2012-03-29,0.000
2012-03-30,0.000
2012-03-31,0.000
2012-04-01,0.000
2012-04-02,0.000
2012-04-03,0.000
2012-04-04,0.000
2012-04-05,10.000
2012-04-06,0.200
2012-04-07,0.000
2012-04-08,4.000
2012-04-09,0.200
2012-04-10,5.200
2012-04-11,0.200
2012-04-12,7.800
2012-04-13,4.400
2012-04-14,11.800
2012-04-15,0.200
2012-04-16,0.000
2012-04-17,0.000
2012-04-18,0.000
2012-04-19,0.000
2012-04-20,2.400
2012-04-21,0.200
2012-04-22,0.000
2012-04-23,0.000
2012-04-24,0.000
2012-04-25,35.800
2012-04-26,84.800
2012-04-27,0.000
2012-04-28,36.000
2012-04-29,0.200
2012-04-30,0.000
2012-05-01,0.000
2012-05-02,0.000
2012-05-03,0.000
2012-05-04,0.800
2012-05-05,0.000
2012-05-06,0.000
2012-05-07,0.000
2012-05-08,0.000
2012-05-09,0.000
2012-05-10,0.000
2012-05-11,8.400
2012-05-12,0.200
2012-05-13,0.000
2012-05-14,0.000
2012-05-15,0.000
2012-05-16,0.200
2012-05-17,0.000
2012-05-18,0.200
2012-05-19,0.000
2012-05-20,0.000
2012-05-21,0.000
2012-05-22,0.000
2012-05-23,0.000
2012-05-24,29.200
2012-05-25,15.400
2012-05-26,0.000
2012-05-27,0.000
2012-05-28,0.000
2012-05-29,0.000
2012-05-30,4.400
2012-05-31,13.200
2012-06-01,1.400
2012-06-02,0.200
2012-06-03,3.800
2012-06-04,80.600
2012-06-05,3.200
2012-06-06,0.400
2012-06-07,0.400
2012-06-08,0.000
2012-06-09,0.000
2012-06-10,35.400
2012-06-11,23.000
2012-06-12,0.000
2012-06-13,0.200
2012-06-14,2.200
2012-06-15,0.000
2012-06-16,0.200
2012-06-17,3.000
2012-06-18,27.800
2012-06-19,3.600
2012-06-20,0.400
2012-06-21,3.200
2012-06-22,5.800
2012-06-23,0.000
2012-06-24,
2012-06-25,
2012-06-26,0.000
2012-06-27,0.000
2012-06-28,0.000
2012-06-29,0.000
2012-06-30,0.000
2012-07-01,0.000
2012-07-02,0.000
2012-07-03,0.000
2012-07-04,0.000
2012-07-05,0.000
2012-07-06,11.200
2012-07-07,14.800
2012-07-08,0.200
2012-07-09,0.000
2012-07-10,0.000
2012-07-11,9.000
2012-07-12,0.400
2012-07-13,0.000
2012-07-14,0.000
2012-07-15,0.000
2012-07-16,2.000
2012-07-17,19.800
2012-07-18,1.600
2012-07-19,0.000
2012-07-20,0.200
2012-07-21,0.000
2012-07-22,0.000
2012-07-23,0.000
2012-07-24,0.000
2012-07-25,9.200
2012-07-26,14.000
2012-07-27,27.600
2012-07-28,2.600
2012-07-29,2.600
2012-07-30,16.400
2012-07-31,4.000
2012-08-01,0.000
2012-08-02,0.000
2012-08-03,0.000
2012-08-04,0.000
2012-08-05,0.000
2012-08-06,0.000
2012-08-07,0.000
2012-08-08,0.000
2012-08-09,0.000
2012-08-10,0.000
2012-08-11,0.000
2012-08-12,0.000
2012-08-13,0.000
2012-08-14,0.000
2012-08-15,0.000
2012-08-16,0.000
2012-08-17,0.000
2012-08-18,0.000
2012-08-19,0.000
2012-08-20,0.000
2012-08-21,0.000
2012-08-22,0.000
2012-08-23,0.000
2012-08-24,0.000
2012-08-25,0.000
2012-08-26,0.000
2012-08-27,1.400
2012-08-28,1.000
2012-08-29,0.200
2012-08-30,0.000
2012-08-31,0.000
2012-09-01,0.000
2012-09-02,0.000
2012-09-03,0.000
2012-09-04,0.000
2012-09-05,0.000
2012-09-06,0.000
2012-09-07,0.000
2012-09-08,0.000
2012-09-09,0.000
2012-09-10,9.400
2012-09-11,0.000
2012-09-12,0.000
2012-09-13,0.000
2012-09-14,0.000
2012-09-15,0.000
2012-09-16,0.000
2012-09-17,0.000
2012-09-18,0.000
2012-09-19,6.600
2012-09-20,0.000
2012-09-21,12.600
2012-09-22,0.000
2012-09-23,0.000
2012-09-24,0.000
2012-09-25,2.400
2012-09-26,0.000
2012-09-27,0.000
2012-09-28,0.000
2012-09-29,0.000
2012-09-30,2.800
2012-10-01,10.600
2012-10-02,0.000
2012-10-03,0.000
2012-10-04,0.000
2012-10-05,0.000
2012-10-06,0.000
2012-10-07,0.000
2012-10-08,0.000
2012-10-09,0.000
2012-10-10,4.000
2012-10-11,11.800
2012-10-12,0.000
2012-10-13,0.000
2012-10-14,0.000
2012-10-15,0.000
2012-10-16,0.000
2012-10-17,0.000
2012-10-18,0.000
2012-10-19,0.000
2012-10-20,0.000
2012-10-21,0.000
2012-10-22,13.200
2012-10-23,32.400
2012-10-24,0.000
2012-10-25,11.400
2012-10-26,37.400
2012-10-27,0.200
2012-10-28,0.800
2012-10-29,0.000
2012-10-30,0.200
2012-10-31,6.000
2012-11-01,0.000
2012-11-02,0.000
2012-11-03,0.000
2012-11-04,2.400
2012-11-05,0.000
2012-11-06,0.000
2012-11-07,0.000
2012-11-08,5.800
2012-11-09,1.400
2012-11-10,0.000
2012-11-11,10.200
2012-11-12,26.800
2012-11-13,11.000
2012-11-14,0.000
2012-11-15,3.200
2012-11-16,0.000
2012-11-17,0.000
2012-11-18,0.000
2012-11-19,0.000
2012-11-20,0.000
2012-11-21,0.000
2012-11-22,0.000
2012-11-23,0.000
2012-11-24,4.400
2012-11-25,0.000
2012-11-26,0.000
2012-11-27,3.400
2012-11-28,0.200
2012-11-29,0.000
2012-11-30,0.000
2012-12-01,1.400
2012-12-02,0.800
2012-12-03,0.000
2012-12-04,0.000
2012-12-05,4.200
2012-12-06,0.200
2012-12-07,3.400
2012-12-08,0.400
2012-12-09,0.000
2012-12-10,0.000
2012-12-11,6.000
2012-12-12,0.000
2012-12-13,0.000
2012-12-14,0.400
2012-12-15,3.600
2012-12-16,4.600
2012-12-17,0.000
2012-12-18,0.000
2012-12-19,1.200
2012-12-20,1.600
2012-12-21,0.000
2012-12-22,0.000
2012-12-23,0.000
2012-12-24,0.000
2012-12-25,6.600
2012-12-26,0.000
2012-12-27,19.400
2012-12-28,15.800
2012-12-29,24.000
2012-12-30,4.800
2012-12-31,8.800
2013-01-01,8.800
2013-01-02,2.200
2013-01-03,0.000
2013-01-04,0.200
2013-01-05,0.000
2013-01-06,4.000
2013-01-07,0.200
2013-01-08,18.800
2013-01-09,0.600
2013-01-10,0.000
2013-01-11,0.000
2013-01-12,0.000
2013-01-13,0.000
2013-01-14,1.400
2013-01-15,0.600
2013-01-16,0.600
2013-01-17,0.200
2013-01-18,1.200
2013-01-19,0.000
2013-01-20,0.000
2013-01-21,0.000
2013-01-22,0.000
2013-01-23,0.000
2013-01-24,0.000
2013-01-25,1.800
2013-01-26,0.000
2013-01-27,0.000
2013-01-28,0.000
2013-01-29,0.000
2013-01-30,0.000
2013-01-31,0.000
2013-02-01,0.000
2013-02-02,28.800
2013-02-03,9.000
2013-02-04,1.400
2013-02-05,0.000
2013-02-06,0.000
2013-02-07,21.000
2013-02-08,7.000
2013-02-09,16.400
2013-02-10,9.800
2013-02-11,4.800
2013-02-12,6.000
2013-02-13,1.200
2013-02-14,6.200
2013-02-15,10.800
2013-02-16,11.200
2013-02-17,14.800
2013-02-18,2.400
2013-02-19,1.000
2013-02-20,15.600
2013-02-21,0.000
2013-02-22,1.000
2013-02-23,0.000
2013-02-24,0.000
2013-02-25,42.400
2013-02-26,4.400
2013-02-27,0.000
2013-02-28,0.000
2013-03-01,0.000
2013-03-02,0.000
2013-03-03,0.000
2013-03-04,0.000
2013-03-05,16.600
2013-03-06,8.400
2013-03-07,7.400
2013-03-08,0.000
2013-03-09,6.400
2013-03-10,11.600
2013-03-11,1.000
2013-03-12,11.000
2013-03-13,19.800
2013-03-14,0.000
2013-03-15,0.600
2013-03-16,0.200
2013-03-17,0.000
2013-03-18,0.000
2013-03-19,0.200
2013-03-20,6.000
2013-03-21,0.200
2013-03-22,0.000
2013-03-23,0.000
2013-03-24,15.200
2013-03-25,0.000
2013-03-26,1.600
2013-03-27,0.000
2013-03-28,0.000
2013-03-29,0.000
2013-03-30,0.000
2013-03-31,0.000
2013-04-01,0.000
2013-04-02,2.600
2013-04-03,7.600
2013-04-04,22.200
2013-04-05,28.000
2013-04-06,0.000
2013-04-07,0.000
2013-04-08,0.600
2013-04-09,0.000
2013-04-10,0.000
2013-04-11,0.000
2013-04-12,35.200
2013-04-13,0.800
2013-04-14,0.000
2013-04-15,0.000
2013-04-16,0.000
2013-04-17,0.000
2013-04-18,0.000
2013-04-19,0.000
2013-04-20,0.000
2013-04-21,0.000
2013-04-22,0.000
2013-04-23,0.000
2013-04-24,0.000
2013-04-25,0.000
2013-04-26,0.000
2013-04-27,0.000
2013-04-28,0.000
2013-04-29,0.000
2013-04-30,0.000
2013-05-01,0.000
2013-05-02,0.000
2013-05-03,0.000
2013-05-04,0.000
2013-05-05,6.200
2013-05-06,0.200
2013-05-07,0.000
2013-05-08,0.000
2013-05-09,0.000
2013-05-10,0.000
2013-05-11,0.000
2013-05-12,0.000
2013-05-13,0.800
2013-05-14,0.200
2013-05-15,6.000
2013-05-16,15.800
2013-05-17,0.400
2013-05-18,0.000
2013-05-19,0.000
2013-05-20,5.200
2013-05-21,0.200
2013-05-22,
2013-05-23,0.000
2013-05-24,0.000
2013-05-25,0.000
2013-05-26,0.000
2013-05-27,28.800
2013-05-28,15.200
2013-05-29,1.800
2013-05-30,0.200
2013-05-31,0.000
2013-06-01,9.400
2013-06-02,19.600
2013-06-03,0.200
2013-06-04,0.000
2013-06-05,0.000
2013-06-06,0.000
2013-06-07,0.000
2013-06-08,0.000
2013-06-09,0.000
2013-06-10,0.000
2013-06-11,9.000
2013-06-12,0.000
2013-06-13,0.200
2013-06-14,0.200
2013-06-15,0.000
2013-06-16,12.800
2013-06-17,2.000
2013-06-18,0.000
2013-06-19,8.400
2013-06-20,46.400
2013-06-21,48.600
2013-06-22,0.000
2013-06-23,1.400
2013-06-24,32.400
2013-06-25,0.800
2013-06-26,0.200
2013-06-27,1.600
2013-06-28,0.000
2013-06-29,20.800
2013-06-30,3.000
2013-07-01,0.200
2013-07-02,0.000
2013-07-03,0.000
