codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
25344925.0,P,ALMIRANTE TAMANDARÉ- Jardim Graziela,T,86.0,4100400.0,,-25.343,-49.246,2014-07-25,2014-08-08T12:24:21+0000,2019-02-15,CEMADEN
25314931.0,P,ALMIRANTE TAMANDARÉ - Jardim Planalto,T,86.0,4100400.0,,-25.312,-49.308,2014-07-25,2014-08-08T12:24:26+0000,,CEMADEN
25334927.0,P,ALMIRANTE TAMANDARÉ - Jardim Roma,T,86.0,4100400.0,,-25.327,-49.273,2014-07-25,2014-08-08T12:24:25+0000,2017-01-17,CEMADEN
25324927.0,P,ALMIRANTE TAMANDARÉ - Jardim Rosana,T,86.0,4100400.0,,-25.316,-49.267,2015-02-05,2015-02-06T16:38:50+0000,,CEMADEN
25374931.0,P,ALMIRANTE TAMANDARÉ - Jardim Tanguá,T,86.0,4100400.0,,-25.371,-49.308,2014-07-25,2014-08-08T12:24:19+0000,2020-04-07,CEMADEN
25264930.0,P,ALMIRANTE TAMANDARÉ - Tranqueira,T,86.0,4100400.0,,-25.259,-49.301,2014-07-25,2014-08-08T12:24:22+0000,,CEMADEN
19794376.0,P,ALPERCATA - Ravena,T,86.0,3156700.0,,-19.79,-43.755,2014-08-04,2014-08-11T13:32:54+0000,,CEMADEN
3195220.0,P,ALTAMIRA - Brasília,T,86.0,1500602.0,,-3.19994,-52.20375,2018-03-15,2018-03-16T11:31:35+0000,,CEMADEN
3215222.0,P,ALTAMIRA - Preme,T,86.0,1500602.0,,-3.21388,-52.22017,2018-03-15,2018-03-16T11:31:35+0000,,CEMADEN
8493605.0,P,ALTINHO - ALTINHO - APAC,T,86.0,2600807.0,,-8.49,-36.05833,2018-03-15,2018-03-16T11:30:55+0000,,CEMADEN
8493606.0,P,ALTINHO - Prefeitura,T,86.0,2600807.0,,-8.49048,-36.06042,2015-08-25,2015-08-26T14:18:57+0000,,CEMADEN
4204445.0,P,ALTO ALEGRE DO MARANHÃO - UnidadeBásicadeEducação,T,86.0,2100436.0,,-4.20157,-44.45349,2015-08-17,2015-08-18T13:18:37+0000,,CEMADEN
3674585.0,P,ALTO ALEGRE DO PINDARÉ - Torre de televisão,T,86.0,2100477.0,,-3.66732,-45.84769,2015-08-17,2015-08-18T13:18:37+0000,,CEMADEN
5293676.0,P,ALTO DO RODRIGUES - Rua Ouro Negro,T,86.0,2400703.0,,-5.297,-36.761,2014-08-11,2014-08-12T14:16:27+0000,2015-11-01,CEMADEN
5303676.0,P,ALTO DO RODRIGUES - Rua Ouro Negro,T,86.0,2400703.0,,-5.297,-36.761,2015-02-06,2015-02-06T16:50:14+0000,,CEMADEN
29385132.0,P,ALTO FELIZ - Alto Feliz,T,86.0,4300570.0,,-29.38202,-51.31758,2016-08-16,2016-08-16T21:16:43+0000,,CEMADEN
20424196.0,P,ALTO JEQUITIBÁ - Centro,T,86.0,3153509.0,,-20.4283,-41.9637,2018-06-27,2018-06-27T15:01:39+0000,,CEMADEN
5254221.0,P,ALTO LONGÁ - PrefeituraMunicipal,T,86.0,2200301.0,,-5.25264,-42.21046,2015-05-27,2015-05-28T13:19:21+0000,,CEMADEN
9114593.0,P,ALTO PARNAÍBA - Santa Cruz,T,86.0,2100501.0,,-9.10771,-45.93183,2018-06-27,2018-06-27T15:02:25+0000,,CEMADEN
5503826.0,P,ALTO SANTO - ALTO SANTO,T,86.0,2300705.0,,-5.50594,-38.26347,2018-06-01,2018-07-19T20:40:30+0000,2018-07-01,CEMADEN
36481.0,P,ALVARES- Santa Luzia,T,86.0,1300029.0,,-3.21726,-64.81758,,2021-10-13T14:42:31+0000,,CEMADEN
20104305.0,P,ALVINÓPOLIS - Centro,T,86.0,3102308.0,,-20.10835,-43.05788,2018-06-27,2018-06-27T15:01:38+0000,,CEMADEN
29995108.0,P,ALVORADA - ,T,86.0,4300604.0,,-29.9954,-51.0816,2014-12-08,2014-12-08T14:21:20+0000,2015-11-01,CEMADEN
29995106.0,P,ALVORADA - ,T,86.0,4300604.0,,-29.9938,-51.0665,2014-12-10,2014-12-10T13:21:09+0000,2015-01-23,CEMADEN
30005108.0,P,ALVORADA - Americana,T,86.0,4300604.0,,-29.995,-51.081,2015-02-25,2015-02-25T16:18:24+0000,,CEMADEN
30035107.0,P,ALVORADA - Jardim Algarve,T,86.0,4300604.0,,-30.03555,-51.07962,2014-12-08,2014-12-08T17:21:33+0000,2018-04-01,CEMADEN
30025105.0,P,ALVORADA - Pirati,T,86.0,4300604.0,,-30.0237,-51.051,2014-12-08,2014-12-08T19:24:32+0000,2015-11-01,CEMADEN
29995107.0,P,ALVORADA - Vila Tupã,T,86.0,4300604.0,,-29.993,-51.066,2015-02-05,2015-02-06T16:50:25+0000,,CEMADEN
8373544.0,P,AMARAJI - AMARAJI - APAC,T,86.0,2600906.0,,-8.37778,-35.4475,2018-03-15,2018-03-16T11:30:55+0000,,CEMADEN
36819.0,P,AMATURUC1- Santa Etelvina,T,86.0,1300060.0,,-3.36227,-68.19554,,2021-10-13T14:42:31+0000,,CEMADEN
11454143.0,P,AMÉRICA DOURADA - Centro,T,86.0,2901155.0,,-11.45011,-41.434,2017-10-08,2017-10-10T13:19:37+0000,,CEMADEN
22744731.0,P,AMERICANA - Vila Isabel,T,86.0,3501608.0,,-22.73563,-47.31487,2015-05-12,2015-05-12T17:17:04+0000,,CEMADEN
3363982.0,P,AMONTADA - Centro,T,86.0,2300754.0,,-3.364,-39.828,2014-08-12,2014-08-12T19:49:32+0000,,CEMADEN
3373988.0,P,AMONTADA - Gurupa,T,86.0,2300754.0,,-3.37,-39.881,2014-08-12,2014-08-12T19:49:32+0000,,CEMADEN
3283990.0,P,AMONTADA - Nascente,T,86.0,2300754.0,,-3.282,-39.904,2014-08-12,2014-08-12T19:49:32+0000,,CEMADEN
22704681.0,P,AMPARO - ,T,86.0,3501905.0,,-22.7044,-46.8186,2014-12-03,2014-12-03T19:18:22+0000,,CEMADEN
22664675.0,P,AMPARO - ,T,86.0,3501905.0,,-22.6667,-46.7531,2014-12-04,2014-12-04T13:20:11+0000,,CEMADEN
22724683.0,P,AMPARO - ,T,86.0,3501905.0,,-22.7228,-46.8381,2014-12-03,2014-12-03T19:18:33+0000,,CEMADEN
22724684.0,P,AMPARO - ETA Arcadas,T,86.0,3501905.0,,-22.722,-46.838,2015-02-05,2015-02-06T16:46:26+0000,,CEMADEN
22704682.0,P,AMPARO - ETE,T,86.0,3501905.0,,-22.704,-46.818,2015-02-05,2015-02-06T16:46:15+0000,,CEMADEN
22674675.0,P,AMPARO - Parque A. Batone,T,86.0,3501905.0,,-22.666,-46.753,2015-08-13,2015-08-14T13:16:40+0000,,CEMADEN
22124766.0,P,ANALÂNDIA - Analandia01,T,86.0,3502002.0,,-22.12454,-47.66357,2015-09-03,2015-09-03T20:16:28+0000,,CEMADEN
36140.0,P,ANAMÃ- Centro,T,86.0,1300086.0,,-3.57715,-61.40594,,2022-02-08T12:19:50+0000,,CEMADEN
16324894.0,P,ANÁPOLIS - Santa Maria do Nazaré,T,86.0,5201108.0,,-16.326,-48.941,2014-12-25,2014-12-25T05:22:38+0000,2015-11-01,CEMADEN
