,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
84,40821.9,110.634,171.071,110.64,10498.6,110.634,110.634,110.588,110.634,109.667,109.512,110.634,110.634,110.634,30.5835,110.634,110.634,110.634
85,6365.51,105.353,165.839,105.359,10493.0,105.353,105.353,105.396,105.353,104.539,104.218,105.353,105.353,105.353,25.307,105.353,105.353,105.353
86,40815.1,102.128,162.627,102.134,10489.8,102.128,102.128,102.193,102.128,101.354,100.989,102.128,102.128,102.128,22.0827,102.128,102.128,102.128
87,6365.63,102.453,162.93,102.46,10490.4,102.453,102.453,102.48,102.453,101.613,101.321,102.453,102.453,102.453,22.4051,102.453,102.453,102.453
88,40814.8,100.07,160.57,100.076,10487.8,100.07,100.07,100.132,100.07,99.2952,98.9301,100.07,100.07,100.07,20.0246,100.07,100.07,100.07
89,6362.67,97.9968,158.506,98.0035,10485.6,97.9968,97.9968,98.0755,97.9968,97.2531,96.8526,97.9968,97.9968,97.9968,17.9532,97.9968,97.9968,97.9968
90,40813.6,96.3602,156.867,96.367,10484.1,96.3602,96.3602,96.4339,96.3602,95.6097,95.2181,96.3602,96.3602,96.3602,16.3164,96.3602,96.3602,96.3602
91,6369.11,101.47,161.887,101.477,10489.7,101.47,101.47,101.39,101.47,100.451,100.352,101.47,101.47,101.47,21.417,101.47,101.47,101.47
92,40817.7,100.008,160.458,100.015,10487.9,100.008,100.008,99.9894,100.008,99.0946,98.8813,100.008,100.008,100.008,19.9581,100.008,100.008,100.008
93,6379.6,112.258,172.56,112.265,10500.4,112.258,112.258,111.964,112.258,110.875,111.16,112.258,112.258,112.258,32.192,112.258,112.258,112.258
94,40846.3,130.688,190.79,130.695,10518.2,130.688,130.688,130.009,130.688,128.657,129.61,130.688,130.688,130.688,50.6124,130.688,130.688,130.688
95,6371.76,112.038,172.417,112.045,10499.4,112.038,112.038,111.902,112.038,110.911,110.919,112.038,112.038,112.038,31.985,112.038,112.038,112.038
96,40817.5,104.118,164.574,104.126,10492.0,104.118,104.118,104.139,104.118,103.254,102.997,104.118,104.118,104.118,24.0678,104.118,104.118,104.118
97,6364.23,100.239,160.727,100.247,10488.3,100.239,100.239,100.32,100.239,99.4775,99.117,100.239,100.239,100.239,20.1894,100.239,100.239,100.239
98,40814.6,97.8151,158.321,97.8227,10485.9,97.8151,97.8151,97.9194,97.8151,97.0998,96.6916,97.8151,97.8151,97.8151,17.7665,97.8151,97.8151,97.8151
99,6362.81,95.9581,156.469,95.9658,10484.1,95.9581,95.9581,96.0641,95.9581,95.2516,94.8341,95.9581,95.9581,95.9581,15.9099,95.9581,95.9581,95.9581
100,40813.9,94.4604,154.971,94.4681,10482.6,94.4604,94.4604,94.5599,94.4604,93.7461,93.337,94.4604,94.4604,94.4604,14.4125,94.4604,94.4604,94.4604
101,6390.35,121.588,181.753,121.596,10509.2,121.588,121.588,121.052,121.588,119.814,120.49,121.588,121.588,121.588,41.5088,121.588,121.588,121.588
102,40830.5,115.327,175.626,115.335,10503.4,115.327,115.327,115.049,115.327,113.96,114.231,115.327,115.327,115.327,35.2608,115.327,115.327,115.327
103,6368.23,104.849,165.279,104.857,10492.8,104.849,104.849,104.817,104.849,103.893,103.735,104.849,104.849,104.849,24.7928,104.849,104.849,104.849
104,40816.2,99.9402,160.418,99.9483,10487.9,99.9402,99.9402,99.9912,99.9402,99.1298,98.8193,99.9402,99.9402,99.9402,19.8872,99.9402,99.9402,99.9402
105,6363.62,97.1382,157.636,97.1464,10485.2,97.1382,97.1382,97.2186,97.1382,96.3836,96.0152,97.1382,97.1382,97.1382,17.0869,97.1382,97.1382,97.1382
106,40814.3,95.2155,155.722,95.2238,10483.3,95.2155,95.2155,95.3037,95.2155,94.4788,94.0919,95.2155,95.2155,95.2155,15.1655,95.2155,95.2155,95.2155
107,6362.69,93.7289,154.237,93.7373,10481.8,93.7289,93.7289,93.8148,93.7289,92.9888,92.6059,93.7289,93.7289,93.7289,13.6794,93.7289,93.7289,93.7289
108,40813.8,92.5519,153.058,92.5604,10480.6,92.5519,92.5519,92.6307,92.5519,91.8022,91.4282,92.5519,92.5519,92.5519,12.5028,92.5519,92.5519,92.5519
109,6362.35,91.5301,152.031,91.5387,10479.6,91.5301,91.5301,91.5969,91.5301,90.7624,90.4063,91.5301,91.5301,91.5301,11.4811,91.5301,91.5301,91.5301
110,40813.6,90.6473,151.144,90.6559,10478.7,90.6473,90.6473,90.7026,90.6473,89.8617,89.5235,90.6473,90.6473,90.6473,10.5985,90.6473,90.6473,90.6473
111,6362.23,89.8454,150.336,89.8541,10477.9,89.8454,89.8454,89.8885,89.8454,89.0403,88.7216,89.8454,89.8454,89.8454,9.79669,89.8454,89.8454,89.8454
112,40813.8,89.3474,149.822,89.3562,10477.4,89.3474,89.3474,89.3667,89.3474,88.4975,88.2278,89.3474,89.3474,89.3474,9.29703,89.3474,89.3474,89.3474
113,6362.38,88.9986,149.469,89.0076,10477.0,88.9986,88.9986,89.0066,88.9986,88.129,87.8781,88.9986,88.9986,88.9986,8.94833,88.9986,88.9986,88.9986
114,40813.5,88.5786,149.049,88.5877,10476.5,88.5786,88.5786,88.5862,88.5786,87.7091,87.4557,88.5786,88.5786,88.5786,8.52892,88.5786,88.5786,88.5786
115,6362.2,88.0173,148.485,88.0265,10475.9,88.0173,88.0173,88.0191,88.0173,87.1404,86.8937,88.0173,88.0173,88.0173,7.96774,88.0173,88.0173,88.0173
116,40813.5,87.4743,147.938,87.4835,10475.4,87.4743,87.4743,87.4681,87.4743,86.586,86.3504,87.4743,87.4743,87.4743,7.42447,87.4743,87.4743,87.4743
117,6362.14,86.9962,147.455,87.0055,10474.9,86.9962,86.9962,86.982,86.9962,86.0958,85.8721,86.9962,86.9962,86.9962,6.9462,86.9962,86.9962,86.9962
118,40813.4,86.5638,147.018,86.5732,10474.4,86.5638,86.5638,86.5415,86.5638,85.6505,85.4397,86.5638,86.5638,86.5638,6.51349,86.5638,86.5638,86.5638
119,6362.11,86.1902,146.64,86.1997,10474.0,86.1902,86.1902,86.1602,86.1902,85.2645,85.0659,86.1902,86.1902,86.1902,6.13963,86.1902,86.1902,86.1902
120,40813.5,85.8671,146.308,85.8767,10474.2,85.8671,85.8671,85.8321,85.8671,84.9294,84.7458,85.8671,85.8671,85.8671,5.81226,85.8671,85.8671,85.8671
121,6362.25,85.5932,146.027,85.6029,10473.9,85.5932,85.5932,85.5526,85.5932,84.6448,84.4713,85.5932,85.5932,85.5932,5.53497,85.5932,85.5932,85.5932
122,40813.6,85.3587,145.785,85.3684,10473.7,85.3587,85.3587,85.3124,85.3587,84.3995,84.2354,85.3587,85.3587,85.3587,5.29745,85.3587,85.3587,85.3587
123,6362.27,85.1711,145.593,85.1809,10473.5,85.1711,85.1711,85.12,85.1711,84.204,84.046,85.1711,85.1711,85.1711,5.10777,85.1711,85.1711,85.1711
124,40832.2,103.673,163.85,103.683,10491.5,103.673,103.673,103.217,103.673,102.021,102.567,103.673,103.673,103.673,23.5882,103.673,103.673,103.673
125,6370.78,98.0433,158.374,98.0534,10486.2,98.0433,98.0433,97.834,98.0433,96.7928,96.9303,98.0433,98.0433,98.0433,17.9764,98.0433,98.0433,98.0433
126,40817.1,93.0092,153.4,93.0193,10481.2,93.0092,93.0092,92.9033,93.0092,91.9323,91.8868,93.0092,93.0092,93.0092,12.9429,93.0092,93.0092,93.0092
127,6364.06,90.5947,151.012,90.6049,10478.9,90.5947,90.5947,90.5345,90.5947,89.5972,89.4687,90.5947,90.5947,90.5947,10.5283,90.5947,90.5947,90.5947
128,40814.6,89.1798,149.607,89.1901,10477.5,89.1798,89.1798,89.1392,89.1798,88.22,88.0521,89.1798,89.1798,89.1798,9.11292,89.1798,89.1798,89.1798
