,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o
39,76.1502,76.1501,76.1501,76.1502,76.1501,75.4111,76.1501,76.15,76.1501,76.1501,76.1501,76.1501,76.1584,76.1501,76.1501,76.1501,76.1501,76.1501,76.1501,76.1501,76.1501,76.1529,76.1492,76.1501,76.1501,76.1501,76.1501,76.1474,76.1501,76.1501,76.1501,75.692,5.1734,78.6152,76.9251,76.2211,76.9027,76.6533,76.1501,76.1501,76.1501,76.1501,76.1501,81.2714,76.1467,7072.3,76.1501,76.1501,76.1501,76.1501
40,79.7141,79.7142,79.7141,79.7141,79.7142,79.172,79.7142,79.7143,79.7141,79.7142,79.7142,79.7142,79.7228,79.7142,79.7142,79.7142,79.7142,79.7142,79.7142,79.7142,79.7142,79.7171,79.7133,79.7142,79.7142,79.7142,79.7142,79.7116,79.7142,79.7142,79.7142,79.0945,5.10704,84.1275,80.5362,79.7869,80.4978,80.2205,79.7142,79.7142,79.7142,79.7142,79.7142,85.4777,79.711,20424.8,79.7142,79.7142,79.7142,79.7142
41,69.4696,69.47,69.4699,69.4697,69.47,71.2989,69.47,69.4704,69.4699,69.47,69.47,69.47,69.4775,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.4727,69.4692,69.47,69.47,69.47,69.47,69.4676,69.47,69.47,69.47,71.1581,5.04018,70.4684,70.3431,69.5433,70.2855,69.9793,69.47,69.47,69.47,69.47,69.47,70.8382,69.4669,7057.39,69.47,69.47,69.47,69.47
42,80.3374,80.3365,80.3367,80.3373,80.3365,79.0859,80.3365,80.3356,80.3368,80.3365,80.3365,80.3365,80.345,80.3365,80.3365,80.3365,80.3365,80.3365,80.3365,80.3365,80.3365,80.3395,80.3358,80.3365,80.3365,80.3365,80.3365,80.3343,80.3365,80.3365,80.3365,80.6057,5.06916,83.0882,81.1865,80.4076,81.1337,80.8486,80.3365,80.3365,80.3365,80.3365,80.3365,85.4635,80.3337,20386.0,80.3365,80.3365,80.3365,80.3365
43,100.595,100.594,100.594,100.595,100.594,97.4553,100.594,100.594,100.594,100.594,100.594,100.594,100.605,100.594,100.594,100.594,100.594,100.594,100.594,100.594,100.594,100.598,100.594,100.594,100.594,100.594,100.594,100.592,100.594,100.594,100.594,99.8987,5.62838,115.29,101.492,100.67,101.441,101.109,100.594,100.594,100.594,100.594,100.594,111.652,100.592,7068.67,100.594,100.594,100.594,100.594
44,101.826,101.826,101.826,101.826,101.826,101.57,101.826,101.826,101.826,101.826,101.826,101.826,101.837,101.826,101.826,101.826,101.826,101.826,101.826,101.826,101.826,101.83,101.825,101.826,101.826,101.826,101.826,101.824,101.826,101.826,101.826,101.907,5.92614,109.796,102.806,101.907,102.741,102.343,101.826,101.826,101.826,101.826,101.826,112.041,101.823,20396.1,101.826,101.826,101.826,101.826
45,110.349,110.348,110.348,110.349,110.348,109.586,110.348,110.348,110.348,110.348,110.348,110.348,110.361,110.348,110.348,110.348,110.348,110.348,110.348,110.348,110.348,110.352,110.348,110.348,110.348,110.348,110.348,110.346,110.348,110.348,110.348,109.991,6.11206,123.779,111.382,110.432,111.301,110.868,110.348,110.348,110.348,110.348,110.348,122.533,110.346,7080.05,110.348,110.348,110.348,110.348
46,115.279,115.279,115.279,115.279,115.279,114.991,115.279,115.278,115.279,115.279,115.279,115.279,115.292,115.279,115.279,115.279,115.279,115.279,115.279,115.279,115.279,115.283,115.278,115.279,115.279,115.279,115.279,115.277,115.279,115.279,115.279,115.17,6.38878,125.121,116.378,115.367,116.283,115.8,115.279,115.279,115.279,115.279,115.279,127.569,115.276,20394.6,115.279,115.279,115.279,115.279
47,108.46,108.46,108.46,108.46,108.46,109.993,108.46,108.46,108.46,108.46,108.46,108.46,108.472,108.46,108.46,108.46,108.46,108.46,108.46,108.46,108.46,108.464,108.459,108.46,108.46,108.46,108.46,108.458,108.46,108.46,108.46,109.047,6.12681,110.587,109.614,108.553,109.505,108.983,108.46,108.46,108.46,108.46,108.46,116.303,108.458,7060.24,108.46,108.46,108.46,108.46
48,121.811,121.81,121.81,121.811,121.81,120.678,121.81,121.809,121.81,121.81,121.81,121.81,121.823,121.81,121.81,121.81,121.81,121.81,121.81,121.81,121.81,121.815,121.809,121.81,121.81,121.81,121.81,121.808,121.81,121.81,121.81,121.67,6.23709,134.858,122.979,121.905,122.867,122.335,121.81,121.81,121.81,121.81,121.81,132.995,121.808,20415.2,121.81,121.81,121.81,121.81
